"ID","Organisation","Project","Group1","Group2","Group3","Task","Description","Priority","Urgency","Importance","Effort","Status","Who","DateAssigned","DateStarted","DateCompleted","DateDue"
"39","Home","Task List","Basic functions","","R functions","NewTasks silence options","Prompt/dont prompt for fields if they have been passed as parameters.  Prompt/dont prompt for optional fields.","",NA,NA,"2","Backlog","","","","",""
"40","Home","Fitness tracker","Concept","","","How do I feel, when did I train, how much did I eat.","What additional information could I track to help understand how a particular training program is working for me","",NA,NA,"5","Idea","","","","",""
"41","Home","Task List","UI","","R functions","PrintTasks full description","The full description is displayed word wrapped and multi-line when show=""FULL""","",NA,NA,"",NA,"","","","",""
"42","Home","Task List","Basic functions","","R functions","CaptureTask validations","Print a list of existing Groups.  Select Status values from project configuration.  Map urgency/importance to HIGH/LOW.","","Low","High","3","Backlog","","","","",""
"43","Home","Testing","crap","more crap","stuff","do stuff","I need to do more stuff","",NA,NA,"",NA,"","","","",""
"44","Home","Testing","crap","crapcrap","","Just did stuff","hehe","",NA,NA,"","Idea","","","","",""
"45","Home","Task List","UI","","R functions","R commands","Build a set of functions that can be used inside R like commands","",NA,NA,"2","Idea","Me","","","",""
"46","Home","Task List","Basic functions","","R functions","Generic filter function","There are a lot of places where I am filtering by Organisat/Project/Group.  Can I write a common function to do this?","",NA,NA,"1","Backlog","Me","","","",""
"47","Home","Testing","","","","Quotations","Hi ""There"" again","",NA,NA,"",NA,"","","","",""
"48","Home","Task List","Basic functions","","R functions","LoadTasks format validation","Does the loaded task list contain all the required fields?  Configure and map fields from different sources.","","Low","Low","5","Backlog","Me","","","",""
